word,pos,level,url,uk_audio,us_audio,definition,origin
carry sth out,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/carry-out_1#carry_sng_56,N/A,N/A,to do something that you have said you will do or have been asked to do,N/A
check sb/sth out,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/check-out#check_sng_41,N/A,N/A,to be found to be true or acceptable after being examined,N/A
check out,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/check-out#check_sng_40,N/A,N/A,to be found to be true or acceptable after being examined,N/A
by no means,phrase,B2,https://www.oxfordlearnersdictionaries.com/definition/english/means#means_sng_5,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mea/means/means__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/m/mea/means/means__us_1.mp3,"an action, an object or a system by which a result is achieved; a way of achieving or doing something","late Middle English: plural ofmean(noun), the early sense being ‘intermediary’."
cell phone,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/cell-phone#cellphone_e,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cel/cell_/cell_phone_1_gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/c/cel/cellp/cellphone__us_1.mp3,"a phone that does not have wires and works by radio, and that you can carry with you and use anywhere",N/A
carry on,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/carry-on_1#carryon3_e,N/A,N/A,to continue moving,N/A
come across sb/sth,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/come-across#come_sng_167,N/A,N/A,to be understood,N/A
clean up,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/clean-up_1#clean_sng_54,N/A,N/A,to win or make a lot of money,N/A
care about sth,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/care_2#care_sng_12,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/care_/care__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/c/car/care_/care__us_1.mp3,to feel that something is important and worth worrying about,"Old Englishcaru(noun),carian(verb), of Germanic origin; related to Old High Germanchara‘grief, lament’,charon‘grieve’, and Old Norsekǫr‘sickbed’."
care for sb,phrase,B1,https://www.oxfordlearnersdictionaries.com/definition/english/care-for#care_sng_25,N/A,N/A,"to look after somebody who is sick, very old, very young, etc.",N/A
click on sth,phrase,B1,https://www.oxfordlearnersdictionaries.com/definition/english/click_1#click_sng_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/click/click__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/c/cli/click/click__us_1.mp3,"to choose a particular function or item on a computer screen, etc., by pressing one of the buttons on a mouse ortouchpad",late 16th cent. (as a verb): imitative.
Come on!,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/come-on_1#come_sng_235,N/A,N/A,used in orders to tell somebody to hurry or to try harder,N/A
come up with sth,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/come-up-with#come_sng_303,N/A,N/A,"to find or produce an answer, a sum of money, etc.",N/A
by the end of sth,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/end_1#end_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/end/end__/end__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/e/end/end__/end__us_1.mp3,"the final part of a period of time, an event, an activity or a story","Old Englishende(noun),endian(verb), of Germanic origin; related to Dutcheinde(noun),einden(verb) and GermanEnde(noun),enden(verb)."
confidence in sb/sth,phrase,B2,https://www.oxfordlearnersdictionaries.com/definition/english/confidence#confidence_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconf/xconfidence__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/x/xco/xconf/xconfidence__us_2.mp3,"the feeling that you can trust, believe in and be sure about the abilities or good qualities of somebody/something","late Middle English: from Latinconfidentia, fromconfidere‘have full trust’, fromcon-(expressing intensive force) +fidere‘trust’."
city centre,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/city#city_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cit/city_/city__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/c/cit/city_/city__us_1.mp3,a large and important town,"Middle English: from Old Frenchcite, from Latincivitas, fromcivis‘citizen’. Originally denoting a town, and often used as a Latin equivalent to Old Englishburh‘borough’, the term was later applied to foreign and ancient cities and to the more important English boroughs. The connection between city and cathedral grew up under the Norman kings, as the episcopal sees (many had been established in villages) were removed to the chief borough of the diocese."
concerned with sth,phrase,B2,https://www.oxfordlearnersdictionaries.com/definition/english/concerned#concerned_sng_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconc/xconcerned__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/x/xco/xconc/xconcerned__us_3.mp3,worried and feeling concern about something/somebody,N/A
best friend,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/friend_1#friend_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fri/frien/friend__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/f/fri/frien/friend__us_1.mp3,"a person you know well and like, and who is not usually a member of your family","Old Englishfrēond, of Germanic origin; related to Dutchvriendand GermanFreund, from an Indo-European root meaning ‘to love’, shared byfree."
come back,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/come-back#comeback3_e,N/A,N/A,to return,N/A
come into sth,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/come_1#come_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/come_/come__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/c/com/come_/come__us_1.mp3,to move to or towards a person or place,"Old Englishcuman, of Germanic origin; related to Dutchkomenand Germankommen."
break up,phrase,B1,https://www.oxfordlearnersdictionaries.com/definition/english/break-up_1#breakup3_e,N/A,N/A,to separate into smaller pieces,N/A
compared with sth,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/compare_1#compare_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compa/compare__gb_3.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/c/com/compa/compare__us_2.mp3,to examine people or things to see how they are similar and how they are different,"late Middle English: from Old Frenchcomparer, from Latincomparare, fromcompar‘like, equal’, fromcom-‘with’ +par‘equal’."
connected with sb/sth,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/connected#connected_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconn/xconnected__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/x/xco/xconn/xconnected__us_2.mp3,(of two or more things or people) having a link between them,N/A
by the time (that)…,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/time_1#time_sng_4,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tim/time_/time__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/t/tim/time_/time__us_1.mp3,"what is measured in minutes, hours, days, etc.","Old Englishtīma, of Germanic origin; related totide, which it superseded in temporal senses. The earliest of the current verb senses (dating from late Middle English) is ‘do (something) at a particular moment’."
connected to sth,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/connected#connected_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconn/xconnected__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/x/xco/xconn/xconnected__us_2.mp3,(of two or more things or people) having a link between them,N/A
come from…,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/come-from#come_sng_209,N/A,N/A,to have as your place of birth or the place where you live,N/A
dedicated to sth,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/dedicated#dedicated_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/ded/dedic/dedicated__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/d/ded/dedic/dedicated__us_1.mp3,working hard at something because it is very important to you,N/A
choose to do sth,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/choose#choose_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cho/choos/choose__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/c/cho/choos/choose__us_1.mp3,to decide which thing or person you want out of the ones that are available,"Old Englishcēosan, of Germanic origin; related to Dutchkiezen."
contribute to sth,phrase,B2,https://www.oxfordlearnersdictionaries.com/definition/english/contribute#contribute_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontribute__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/x/xco/xcont/xcontribute__us_1.mp3,"to give something, especially money or goods, to help achieve or provide something","mid 16th cent.: from Latincontribut-‘brought together, added’, from the verbcontribuere, fromcon-‘with’ +tribuere‘bestow’."
climate change,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/climate-change#climatechange_e,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/clima/climate_change_1_gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/c/cli/clima/climate_change_1_us_1.mp3,"changes in the earth’s weather, including changes in temperature, wind patterns andrainfall, especially the increase in the temperature of the earth’s atmosphere that is caused by the increase of particular gases, especiallycarbon dioxide",N/A
depend on sb/sth,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/depend-on#depend_sng_7,N/A,N/A,to rely on somebody/something and be able to trust them,N/A
both sides,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/side_1#side_sng_13,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sid/side_/side__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/s/sid/side_/side__us_1.mp3,"either of the two halves of a surface, an object or an area that is divided by an imaginary central line","Old Englishsīde‘left or right part of the body’, of Germanic origin; related to Dutchzijdeand GermanSeite, probably from a base meaning ‘extending lengthways’."
concerned about sth,phrase,B2,https://www.oxfordlearnersdictionaries.com/definition/english/concerned#concerned_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconc/xconcerned__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/x/xco/xconc/xconcerned__us_3.mp3,worried and feeling concern about something/somebody,N/A
dependent on sb/sth,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/dependent_1#dependent_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dep/depen/dependent__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/d/dep/depen/dependent__us_1.mp3,needing somebody/something in order to survive or be successful,"late Middle Englishdependant‘hanging down’, from Old French, present participle ofdependre, from Latindependere, fromde-‘down’ +pendere‘hang’. The spelling change in the 16th cent. was due to association with the Latin participial stemdependent-."
concentrate on sth,phrase,B1,https://www.oxfordlearnersdictionaries.com/definition/english/concentrate_1#concentrate_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconc/xconcentrate__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/x/xco/xconc/xconcentrate__us_1.mp3,to give all your attention to something and not think about anything else,"mid 17th cent. (in the sense ‘bring towards a centre’): Latinized form ofconcentre, fromcon-‘together’ +centrum‘centre’ or from Frenchconcentrer‘to concentrate’. Sense (1) dates from the early 20th cent."
cope with sth,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/cope_1#cope_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cop/cope_/cope__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/c/cop/cope_/cope__us_1.mp3,to deal successfully with something difficult,"verbMiddle English (in the sense ‘meet in battle, come to blows’): from Old Frenchcoper,colper, fromcop,colp‘a blow’, via Latin from Greekkolaphos‘blow with the fist’."
close to sb/sth,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/close2_1#close2_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/close/close__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/c/clo/close/close__us_2.mp3,near in space or time,"Middle English: from Old Frenchclos(as noun and adjective), from Latinclausum‘enclosure’ andclausus‘closed’, past participle ofclaudere."
consistent with sth,phrase,B2,https://www.oxfordlearnersdictionaries.com/definition/english/consistent#consistent_sng_3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsistent__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/x/xco/xcons/xconsistent__us_1.mp3,"always behaving in the same way, or having the same opinions, standards, etc.","late 16th cent. (in the sense ‘consisting or composed of’): from Latinconsistent-‘standing firm or still, existing’, from the verbconsistere, fromcon-‘together’ +sistere‘stand (still)’."
deprive sb/sth of sth,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/deprive-of#deprive_sng_2,N/A,N/A,"to prevent somebody from having or doing something, especially something important",N/A
decline in sth,phrase,B2,https://www.oxfordlearnersdictionaries.com/definition/english/decline_2#decline_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dec/decli/decline__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/d/dec/decli/decline__us_2.mp3,"a continuous decrease in the number, value, quality, etc. of something","late Middle English: from Old Frenchdecliner, from Latindeclinare‘bend down, turn aside’, fromde-‘down’ +clinare‘to bend’."
come true,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/true_1#true_sng_8,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tru/true_/true__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/t/tru/true_/true__us_1.mp3,connected with facts rather than things that have been invented or guessed,"Old Englishtrēowe,trȳwe‘steadfast, loyal’; related to Dutchgetrouw, Germantreu, also totruce."
dispose of sb/sth,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/dispose-of#dispose_sng_6,N/A,N/A,to get rid of somebody/something that you do not want or cannot keep,N/A
deal with sb,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/deal-with#deal_sng_28,N/A,N/A,"to take appropriate action in a particular situation or according to who you are talking to, managing, etc.",N/A
difficult for sb,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/difficult#difficult_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dif/diffi/difficult__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/d/dif/diffi/difficult__us_2_rr.mp3,not easy; needing effort or skill to do or to understand,late Middle English: back-formation fromdifficulty.
depend on sth,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/depend-on#depend_sng_10,N/A,N/A,to rely on somebody/something and be able to trust them,N/A
decide on sth,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/decide-on#decide_sng_6,N/A,N/A,to choose something from a number of possibilities,N/A
deal with sth,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/deal-with#deal_sng_30,N/A,N/A,"to take appropriate action in a particular situation or according to who you are talking to, managing, etc.",N/A
control over sb/sth,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/control_1#control_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontrol__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/x/xco/xcont/xcontrol__us_3.mp3,"the power to make decisions about how a country, an area, an organization, etc. is run","late Middle English (as a verb in the sense ‘check or verify accounts’, especially by referring to a duplicate register): from Anglo-Norman Frenchcontreroller‘keep a copy of a roll of accounts’, from medieval Latincontrarotulare, fromcontrarotulus‘copy of a roll’, fromcontra-‘against’ +rotulus‘a roll’. The noun is perhaps via Frenchcontrôle."
depending on,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/depend#depend_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dep/depen/depend__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/d/dep/depen/depend__us_1.mp3,according to,"late Middle English originally meaning ‘to hang down’; (also in the sense ‘wait or be in suspense’): from Old Frenchdependre, from Latindependere, fromde-‘down’ +pendere‘hang’."
consist of sb/sth,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/consist-of#consist_sng_5,N/A,N/A,to be formed from the people or things mentioned,N/A
developing countries,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/developing#developing_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dev/devel/developing__gb_3.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/d/dev/devel/developing__us_1.mp3,"poor, and trying to make its industry and economic system more advanced",N/A
economic growth,phrase,B1,https://www.oxfordlearnersdictionaries.com/definition/english/economic#economic_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eco/econo/economic__gb_4.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/e/eco/econo/economic__us_2_rr.mp3,"connected with the trade, industry and development of wealth of a country, an area or a society","late Middle English: via Old French and Latin from Greekoikonomikos, fromoikonomia‘household management’, based onoikos‘house’ +nemein‘manage’. Originally a noun, the word denoted household management or a person skilled in this, hence the early sense of the adjective (late 16th cent.) ‘relating to household management’. Modern senses date from the mid 19th cent."
each other,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/each-other#eachother_e,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eac/each_/each_other_1_gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/e/eac/each_/each_other_1_us_1.mp3,used as the object of a verb or preposition to show that each member of a group does something to or for the other members,N/A
end in sth,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/end-in#end_sng_51,N/A,N/A,to have something as an ending,N/A
despite the fact that…,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/fact#fact_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fac/fact_/fact__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/f/fac/fact_/fact__us_1.mp3,"a thing that is known to be true, especially when it can be proved","late 15th cent.: from Latinfactum, neuter past participle offacere‘do’. The original sense was ‘an act’, later ‘a crime’, surviving in the phrasebefore (or after) the fact. The earliest of the current senses (‘truth, reality’) dates from the late 16th cent."
credit card,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/credit-card#creditcard_e,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cre/credi/credit_card_1_gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/c/cre/credi/credit_card_1_us_1.mp3,a small plastic card that you can use to buy goods and services and pay for them later,N/A
each one,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/each#each_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eac/each_/each__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/e/eac/each_/each__us_1.mp3,"used to refer to every one of two or more people or things, when you are thinking about them separately","Old Englishǣlc; related to Dutchelkand Germanjeglich, based on a West Germanic phrase meaning ‘ever alike’ (seealike)."
due to sb/sth,phrase,B1,https://www.oxfordlearnersdictionaries.com/definition/english/due_1#due_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/due/due__/due__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/d/due/due__/due__us_1.mp3,caused by somebody/something; because of somebody/something,"Middle English (in the sense ‘payable’): from Old Frenchdeu‘owed’, based on Latindebitus‘owed’, fromdebere‘owe’ ."
everyone else,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/everyone#everyone_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eve/every/everyone__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/e/eve/every/everyone__us_1_rr.mp3,every person; all people,N/A
even though,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/even_1#even_sng_27,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eve/even_/even__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/e/eve/even_/even__us_1.mp3,used to emphasize something unexpected or surprising,"Old Englishefen(adjective),efne(adverb), of Germanic origin; related to Dutcheven,effenand Germaneben."
fall asleep,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/asleep#asleep_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/asl/aslee/asleep__gb_3.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/asl/aslee/asleep__us_2.mp3,sleeping,N/A
differences between A and B,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/difference#difference_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dif/diffe/difference__gb_4.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/d/dif/diffe/difference__us_1.mp3,the way in which two people or things are not like each other; the way in which somebody/something has changed,"Middle English: via Old French from Latindifferentia‘difference’, fromdifferent-‘carrying away’, from the verbdifferre, fromdis-‘from, away’ +ferre‘bring, carry’."
except for,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/except_1#except_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exc/excep/except__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/e/exc/excep/except__us_1.mp3,used before you mention the only thing or person about which a statement is not true,"late Middle English: from Latinexcept-‘taken out’, from the verbexcipere, fromex-‘out of’ +capere‘take’."
end with sth,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/end_2#end_sng_32,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/end/end__/end__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/e/end/end__/end__us_1.mp3,to finish; to reach a point and go no further; to make something finish,"Old Englishende(noun),endian(verb), of Germanic origin; related to Dutcheinde(noun),einden(verb) and GermanEnde(noun),enden(verb)."
every day,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/every#every_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eve/every/every__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/e/eve/every/every__us_2.mp3,used with singular nouns to refer to all the members of a group of things or people,"Old Englishǣfre ǣlc, fromǣfre‘ever’ andǣlc‘each’."
ever since,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/since_2#since_sng_3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sin/since/since__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/s/sin/since/since__us_1.mp3,"from an event in the past until a later past event, or until now","late Middle English: contraction of obsoletesithence, or from dialectsin(both from dialectsithen‘thereupon, afterwards, ever since’)."
excuse me,phrase,B2,https://www.oxfordlearnersdictionaries.com/definition/english/excuse_2#excuse_sng_9,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exc/excus/excuse__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/e/exc/excus/excuse__us_2.mp3,"to forgive somebody for something that they have done, for example not being polite or making a small mistake","Middle English: from Old Frenchescuser(verb), from Latinexcusare‘to free from blame’, fromex-‘out’ +causa‘accusation, cause’."
even more…,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/even_1#even_sng_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eve/even_/even__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/e/eve/even_/even__us_1.mp3,used to emphasize something unexpected or surprising,"Old Englishefen(adjective),efne(adverb), of Germanic origin; related to Dutcheven,effenand Germaneben."
exposure to sth,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/exposure#exposure_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exp/expos/exposure__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/e/exp/expos/exposure__us_1.mp3,the state of being in a place or situation where there is no protection from something harmful or unpleasant,"early 17th cent.: fromexpose, on the pattern of words such asenclosure."
end up,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/end-up#endup2_e,N/A,N/A,to find yourself in a place or situation at the end of a process or period of time,N/A
figure sb/sth out,phrase,B2,https://www.oxfordlearnersdictionaries.com/definition/english/figure-out#figure_sng_26,N/A,N/A,to think about somebody/something until you understand them/it,N/A
engaged in sth,phrase,B1,https://www.oxfordlearnersdictionaries.com/definition/english/engaged#engaged_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eng/engag/engaged__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/e/eng/engag/engaged__us_4.mp3,having agreed to marry somebody,N/A
exactly the same,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/same_1#same_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sam/same_/same__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/s/sam/same_/same__us_1.mp3,exactly the one or ones referred to or mentioned; not different,"Middle English: from Old Norsesami, from an Indo-European root shared by Sanskritsama, Greekhomos."
engage in sth,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/engage-in#engage_sng_7,N/A,N/A,to take part in something; to make somebody take part in something,N/A
fall in love,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/love_1#love_sng_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lov/love_/love__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/l/lov/love_/love__us_1.mp3,"a very strong feeling of liking and caring for somebody/something, especially a member of your family or a friend","Old Englishlufu, of Germanic origin; from an Indo-European root shared by Sanskritlubhyati‘desires’, Latinlibet‘it is pleasing’,libido‘desire’, also by the nounleaveandlief."
even if,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/even_1#even_sng_5,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eve/even_/even__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/e/eve/even_/even__us_1.mp3,used to emphasize something unexpected or surprising,"Old Englishefen(adjective),efne(adverb), of Germanic origin; related to Dutcheven,effenand Germaneben."
do well,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/well_1#well_sng_13,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wel/well_/well__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/w/wel/well_/well__us_2.mp3,"in a good, right or acceptable way","adverbOld Englishwel(l), of Germanic origin; related to Dutchweland Germanwohl; probably also to the modal verbwill."
fed up,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/fed-up#fedup_e,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fed/fed_u/fed_up_1_gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/f/fed/fed_u/fed_up_1_us_1.mp3,"bored or unhappy, especially with a situation that has continued for too long",N/A
fall off,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/fall_1#fall_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fal/fall_/fall__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/f/fal/fall_/fall__us_1.mp3,to drop down from a higher level to a lower level,"Old Englishfallan,feallan, of Germanic origin; related to Dutchvallenand Germanfallen; the noun is partly from the verb, partly from Old Norsefall‘downfall, sin’."
